ID,rho_event,beta_event,rho_event_raw,beta_event_raw,rho_event_nc,beta_event_nc,n_pairs,flag_imputed,flag_clipped
Exp_2087,0.459350,0.540650,0.459350,0.540650,0.278991,0.721009,248,0,0
Exp_2090,0.922797,0.077203,0.922797,0.077203,1.000000,0.000000,24,0,0
Exp_2095,0.514558,0.485442,0.514558,0.485442,0.540088,0.459912,299,0,0
Exp_2128,0.452214,0.547786,0.452214,0.547786,0.299387,0.700613,257,0,0
Exp_2151,0.414673,0.585327,0.414673,0.585327,0.378913,0.621087,127,0,0
Exp_2156,0.928634,0.071366,0.928634,0.071366,1.000000,0.000000,34,0,0
Exp_2176,0.410261,0.589739,0.410261,0.589739,0.159556,0.840444,181,0,0
Exp_2183,0.504652,0.495348,0.504652,0.495348,0.789057,0.210943,34,0,0
Exp_2195,0.469368,0.530632,0.469368,0.530632,0.245397,0.754603,34,0,0
Exp_2233,0.338055,0.661945,0.338055,0.661945,0.171730,0.828270,259,0,0
Exp_2238,0.607631,0.392369,0.607631,0.392369,0.414750,0.585250,156,0,0
Exp_2239,0.218374,0.781626,0.218374,0.781626,0.144162,0.855838,156,0,0
Exp_2261,0.458016,0.541984,0.458016,0.541984,0.395761,0.604239,297,0,0
Exp_2270,0.229934,0.770066,0.229934,0.770066,0.350677,0.649323,34,0,0
Exp_2277,0.597384,0.402616,0.597384,0.402616,0.521156,0.478844,156,0,0
Exp_2290,0.710263,0.289737,0.710263,0.289737,1.000000,0.000000,34,0,0
Exp_2294,0.510863,0.489137,0.510863,0.489137,0.581052,0.418948,34,0,0
Exp_2327,0.668830,0.331170,0.668830,0.331170,0.738445,0.261555,180,0,0
Exp_2344,0.736834,0.263166,0.736834,0.263166,0.611437,0.388563,170,0,0
Exp_2348,0.510163,0.489837,0.510163,0.489837,0.405275,0.594725,179,0,0
Exp_2368,0.335984,0.664016,0.335984,0.664016,0.228643,0.771357,299,0,0
Exp_2386,0.386114,0.613886,0.386114,0.613886,0.245426,0.754574,164,0,0
Exp_2395,0.754194,0.245806,0.754194,0.245806,1.000000,0.000000,32,0,0
Exp_2437,0.512563,0.487437,0.512563,0.487437,0.105686,0.894314,34,0,0
Exp_2472,0.089114,0.910886,0.089114,0.910886,0.073842,0.926158,299,0,0
Exp_2480,0.491017,0.508983,0.491017,0.508983,0.567185,0.432815,299,0,0
Exp_2496,0.391553,0.608447,0.391553,0.608447,0.271709,0.728291,299,0,0
Exp_2524,0.603920,0.396080,0.603920,0.396080,0.897753,0.102247,32,0,0
Exp_2526,0.758541,0.241459,0.758541,0.241459,0.304647,0.695353,156,0,0
Exp_2528,0.632766,0.367234,0.632766,0.367234,0.569666,0.430334,34,0,0
Exp_2549,0.305153,0.694847,0.305153,0.694847,0.037585,0.962415,181,0,0
Exp_2562,0.348721,0.651279,0.348721,0.651279,0.124124,0.875876,140,0,0
Exp_2564,0.433767,0.566233,0.433767,0.566233,0.329901,0.670099,156,0,0
Exp_2573,0.303281,0.696719,0.303281,0.696719,0.416506,0.583494,156,0,0
Exp_2593,0.353324,0.646676,0.353324,0.646676,0.430555,0.569445,178,0,0
Exp_2597,0.403312,0.596688,0.403312,0.596688,0.198100,0.801900,173,0,0
Exp_2598,0.178282,0.821718,0.178282,0.821718,0.069790,0.930210,299,0,0
Exp_2642,0.794322,0.205678,0.794322,0.205678,0.274614,0.725386,34,0,0
Exp_2644,0.339819,0.660181,0.339819,0.660181,0.151005,0.848995,299,0,0
Exp_2652,0.568344,0.431656,1.015155,-0.015155,0.388762,0.611238,181,1,0
Exp_2657,0.528730,0.471270,0.528730,0.471270,0.630752,0.369248,156,0,0
Exp_2723,0.787176,0.212824,0.787176,0.212824,1.000000,0.000000,34,0,0
Exp_2724,0.125522,0.874478,0.125522,0.874478,0.151854,0.848146,181,0,0
Exp_2741,0.454779,0.545221,0.454779,0.545221,0.453209,0.546791,241,0,0
Exp_2760,0.465719,0.534281,0.465719,0.534281,0.344542,0.655458,268,0,0
Exp_2774,0.462087,0.537913,0.462087,0.537913,0.056313,0.943687,282,0,0
Exp_2783,0.374317,0.625683,0.374317,0.625683,0.282614,0.717386,282,0,0
Exp_2788,0.450386,0.549614,0.450386,0.549614,0.183823,0.816177,277,0,0
Exp_2811,0.576567,0.423433,0.576567,0.423433,0.429519,0.570481,260,0,0
Exp_2816,0.303260,0.696740,0.303260,0.696740,0.180577,0.819423,282,0,0
Exp_2823,0.715971,0.284029,0.715971,0.284029,0.001000,0.999000,282,0,0
Exp_2903,0.727308,0.272692,0.727308,0.272692,0.756955,0.243045,274,0,0
Exp_3020,0.808175,0.191825,0.808175,0.191825,0.541875,0.458125,279,0,0
Exp_3194,0.676461,0.323539,0.676461,0.323539,0.768929,0.231071,236,0,0
Exp_3269,0.875935,0.124065,0.875935,0.124065,0.001000,0.999000,235,0,0
Exp_3271,0.587966,0.412034,0.587966,0.412034,0.548595,0.451405,236,0,0
Exp_3279,0.565361,0.434639,0.565361,0.434639,0.608810,0.391190,236,0,0
Exp_3333,0.609907,0.390093,0.609907,0.390093,0.339674,0.660326,236,0,0
Exp_3345,0.369738,0.630262,0.369738,0.630262,0.269465,0.730535,236,0,0
Exp_3396,0.553366,0.446634,0.553366,0.446634,0.433830,0.566170,233,0,0
Exp_3401,0.423764,0.576236,0.423764,0.576236,0.393634,0.606366,220,0,0
Exp_3425,0.373923,0.626077,0.373923,0.626077,0.184762,0.815238,157,0,0
Exp_3442,0.490862,0.509138,0.490862,0.509138,0.192626,0.807374,156,0,0
Exp_3448,0.557201,0.442799,0.557201,0.442799,0.256983,0.743017,298,0,0
Exp_3482,0.423349,0.576651,0.423349,0.576651,0.001000,0.999000,155,0,0
Exp_3503,0.782778,0.217222,0.782778,0.217222,0.001000,0.999000,34,0,0
Exp_3506,0.477223,0.522777,0.477223,0.522777,0.486464,0.513536,173,0,0
Exp_3519,0.497508,0.502492,0.497508,0.502492,0.472936,0.527064,256,0,0
Exp_3596,0.515571,0.484429,0.515571,0.484429,0.436694,0.563306,292,0,0
Exp_3599,0.744323,0.255677,0.744323,0.255677,0.856943,0.143057,153,0,0
Exp_3601,0.495769,0.504231,0.495769,0.504231,0.171274,0.828726,34,0,0
Exp_3606,0.855685,0.144315,0.855685,0.144315,1.000000,0.000000,31,0,0
Exp_3615,0.536076,0.463924,0.536076,0.463924,0.116419,0.883581,299,0,0
