ID,Participation_Experiment,Recruitment_organisation,Municipality,Region,Survey1_answered,Survey2_answered,Survey3_answered,Participation_Phase,Control_Price_Phase1,Control_Price_Phase2,Group_Phase1,Group_Phase2,Participation_status_Phase1,Participation_status_Phase2
Ipsos_933,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_934,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_935,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_936,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_937,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_938,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_939,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_940,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_941,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_942,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_943,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_944,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_945,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_946,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_947,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_948,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_949,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_950,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_951,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_952,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_953,No,Market research company,Drammen,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_954,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_955,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_956,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_957,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_958,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_959,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_960,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
